Year,Consumers,GDP,Sales
1969,1888,1859465021,297
1970,2116,1801344538,331
1971,2235,1965546218,373
1972,2482,2296470588,419
1973,2658,2369308600,437
1974,2818,2553936348,463
1975,2960,2875625000,522
1976,3257,3574586466,513
1977,3296,3791298146,515
1978,3631,3591319857,590
1979,3878,4104509583,631
1980,4472,2733183857,626
1981,5301,3364611432,678
1982,6122,4024621900,739
1983,6492,4415844156,752
1984,7034,4768765017,791
1985,7405,5167913302,850
1986,8428,6043474843,926
1987,9020,5978460972,867
1988,9975,6405210564,905
1989,10697,6682167120,848
1990,12990,6978371581,910
1991,14041,6987267684,958
1992,16198,8032551173,1057
1993,17970,9000362582,1223
1994,19551,9703011636,1406
1995,20763,10338679636,1528
1996,21862,11717604209,1361
1997,23008,13029697561,1431
1998,24040,13897738375,1614
1999,25390,15091913884,1613
2000,27231,15794972847,1755
2001,28914,15656327860,1718
2002,29781,16330814180,1865
2003,31182,15749753805,2159
2004,32666,16536535647,2266
2005,34020,18881765437,2446
2006,35431,20662525941,2605
2007,37270,24405791045,2628
2008,40030,28279814925,2677
2009,42234,32350248411,2518
2010,45059,40713812310,2871
2011,47529,42066217872,3132
2012,50760,56725749222,3285
2013,53162,65292753005,3344
2014,54577,68434409315,3498
2015,56681,74317806538,3607
2016,58381,79356449841,3864
2017,60694,80604080689,4042
2018,62570,82401038710,4289
